kdprov;nmprov;kdkab;nmkab;kdkec;nmkec;kddesa;nmdesa;iddesa;idSLS;nama_sls;jenis_sls;est_TOTAL_UMKM;J_KK_final
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010001; RT 001 DUSUN 001      ;SLS;19;66
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010002; RT 001 DUSUN 002      ;SLS;14;50
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010003; RT 002 DUSUN 002      ;SLS;18;64
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010004; RT 001 DUSUN 003      ;SLS;18;67
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010005; RT 002 DUSUN 003      ;SLS;16;56
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010006; RT 001 DUSUN 004      ;SLS;13;52
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010007; RT 002 DUSUN 004      ;SLS;19;87
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010008; RT 003 DUSUN 004      ;SLS;21;63
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010009; RT 001 DUSUN 005      ;SLS;8;33
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010010; RT 002 DUSUN 005      ;SLS;28;70
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010011; RT 003 DUSUN 005      ;SLS;33;94
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;001;CAHYA BUMI;1602010001;16020100010012; RT 004 DUSUN 005      ;SLS;21;85
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020001; RT 001 DUSUN 001      ;SLS;14;91
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020002; RT 002 DUSUN 001      ;SLS;16;42
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020003; RT 003 DUSUN 002      ;SLS;14;56
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020004; RT 004 DUSUN 002      ;SLS;12;52
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020005; RT 005 DUSUN 002      ;SLS;7;35
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020006; RT 006 DUSUN 002      ;SLS;23;64
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020007; RT 007 DUSUN 003      ;SLS;20;63
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020008; RT 008 DUSUN 003      ;SLS;18;64
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020009; RT 009 DUSUN 004      ;SLS;6;34
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020010; RT 010 DUSUN 004      ;SLS;9;42
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020011; RT 011 DUSUN 004      ;SLS;18;53
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020012; RT 012 DUSUN 004      ;SLS;8;31
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020013; RT 013 DUSUN 005      ;SLS;10;38
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020014; RT 014 DUSUN 005      ;SLS;14;48
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;002;BUMI ARJO;1602010002;16020100020015; RT 015 DUSUN 005      ;SLS;2;14
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030001; RT 01 DUSUN 1      ;SLS;7;32
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030002; RT 02 DUSUN 1      ;SLS;13;51
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030003; RT 03 DUSUN 1      ;SLS;11;51
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030004; RT 04 DUSUN 1      ;SLS;7;42
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030005; RT 05 DUSUN 1      ;SLS;8;45
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030006; RT 01 DUSUN 2      ;SLS;15;44
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030007; RT 02 DUSUN 2      ;SLS;10;40
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030008; RT 03 DUSUN 2      ;SLS;16;37
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030009; RT 04 DUSUN 2      ;SLS;86;40
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030010; RT 05 DUSUN 2      ;SLS;9;41
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030011; RT 06 DUSUN 2      ;SLS;5;34
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030012; RT 07 DUSUN 2      ;SLS;16;59
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030013; RT 01 DUSUN 3      ;SLS;19;62
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030014; RT 02 DUSUN 3      ;SLS;14;56
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030015; RT 03 DUSUN 3      ;SLS;8;32
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030016; RT 04 DUSUN 3      ;SLS;4;25
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030017; RT 01 DUSUN 4      ;SLS;7;35
16;SUMATERA SELATAN;02;OGAN KOMERING ILIR;010;LEMPUING;003;KUTA PANDAN;1602010003;16020100030018; RT 02 DUSUN 4      ;SLS;10;27
