id,kode_3_digit_id,kode_4_digit,judul,deskripsi
1,1,0111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","Subgolongan ini mencakup pertanian semua serealia, aneka kacang dan biji-bijian penghasil minyak di lahan terbuka, termasuk pertanian tanaman organik dan pertanian tanaman yang telah dimodifikasi. Pertanian tanaman ini sering dikombinasikan dalam unit pertanian. Subgolongan ini mencakup : - Pertanian serealia seperti gandum, jagung, sorgum, gandum untuk membuat bir (barley), gandum hitam (rye), oats, millet dan serealia lainnya - Pertanian aneka kacang palawija, mencakup kacang kedelai, kacang tanah dan kacang hijau - Pertanian aneka kacang hortikultura, mencakup buncis, buncis besar, kacang panjang, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman aneka kacang lainnya - Pertanian biji-bijian penghasil minyak, seperti biji kapas, biji castor, biji rami, biji mustard, niger seeds, rapeseed/canola, biji wijen, safflower seeds, biji bunga matahari dan tanaman penghasil minyak lainnya Subgolongan ini tidak mencakup : - Pertanian jagung (maize) untuk makanan ternak, lihat 0119"
2,1,0112,Pertanian Padi,"Subgolongan ini mencakup pertanian padi, termasuk pertanian padi organik dan padi yang sudah dimodifikasi. Termasuk kegiatan pembibitan dan pembenihan tanaman padi. Budidaya ikan di sawah (mina padi) digolongkan dalam kegiatan perikanan."
3,1,0113,"Pertanian sayuran, buah dan aneka umbi","Subgolongan ini mencakup : - Pertanian hortikultura sayuran seperti asparagus, kol, kembang kol dan brokoli, selada dan chicory, bayam, tumbuhan yang bunganya dimakan sebagai sayur, dan sayuran daun dan batang lainnya - Pertanian hortikultura buah, seperti semangka, blewah, labu buah, melon dan sejenisnya - Pertanian aneka umbi hortikultura, seperti kentang, kentang manis, wortel, lobak cina, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya - Perrtanian tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong, irut, gembili dan tanaman aneka umbi palawija lainnya - Pertanian buah yang dipakai sebagai sayuran, seperti mentimun, terung, tomat, belimbing sayur dan labu sayur dan lainnya - Pertanian jamur dan truffle - Pertanian bibit sayuran, kecuali bibit tanaman bit- Pertanian bit gula- Pertanian sayuran lainnya Subgolongan ini tidak mencakup : - Pertanian spawn jamur, lihat 0130 - Pertanian cabai dan merica (capsicum spp) dan tanaman bumbu lainnnya, lihat 0128"
4,1,0114,Perkebunan tebu,"Subgolongan ini mencakup : - Perkebunan tebu Subgolongan ini tidak mencakup : - Pertanian bit gula, lihat 0113"
5,1,0115,Perkebunan tembakau,"Subgolongan ini mencakup : - Perkebunan tembakau (bukan industri), termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya"
6,1,0116,Pertanian tanaman berserat,"Subgolongan ini mencakup : - Pertanian kapas- Pertanian yute, kenaf- Pertanian batang lenan dan rami- Pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave - Pertanian abaca, rami dan tanaman bahan baku tekstil lainnya- Pertanian tanaman serat lainnya"
7,1,0119,Pertanian tanaman semusim lainnya,"Subgolongan ini mencakup pertanian tanaman semusim yang lain : - Pertanian sewede, mangold, akar-akaran untuk makanan hewan, semanggi, alfalfa, saifoin, tanaman jagung (maize) dan rumput-rumputan lainnya, makanan ternak dan sejenisnya - Pembibitan bit (tidak termasuk bit gula) dan bibit tanaman untuk makanan ternak - Pertanian bunga, termasuk produksi bunga potong dan kuncup bunga- Pembibitan bunga Sub golongan ini tidak mencakup : - Pertanian tanaman semusim, seperti tanaman rempah-rempah, aromatik, narkotika dan tanaman obat-obatan, lihat 0128"
8,2,0121,Pertanian Buah Anggur,"Subgolongan ini mencakup : - Pertanian buah anggur untuk bahan minuman (wine) dan buah anggur di kebun anggur Subgolongan ini tidak mencakup : - Industri minuman anggur (wine), lihat 1102"
9,2,0122,Pertanian Buah-Buahan Tropis dan Subtropis,"Subgolongan ini mencakup : - Pertanian buah tropis dan subtropis, seperti alpukat, pisang dan pisang raja, kurma, buah ara, mangga, pepaya, nanas dan buah tropis dan subtropis lainnya"
10,2,0123,Pertanian Buah Jeruk,"Subgolongan ini mencakup : - Pertanian buah jeruk, seperti jeruk bali, jeruk lemon dan limau, jeruk orange, tangerin, mandarin dan clementine, dan buah jeruk lainnya"
